,0,1,2,3,4,5,6,7
167,2025 PHOTOGRAY APP 대학생 아이디어 공모전,기획/아이디어,대학생,주식회사 에이피알,2025-04-07 ~ 2025-05-25,3천만원~1천만원,"1,000만원",
168,제13회 공공데이터 활용 아이디어 공모전,기획/아이디어,"일반인, 대학생, 기타","산업통상자원부 / 한국전력공사, 대한무역투자진흥공사, 한국가스공사, 한국석유공사, 한국수력원자력, 한국지역난",한국산업지능화협회,2025-04-14 ~ 2025-07-14,다양한 혜택,"1,500만원"
169,2025 양평의병 콘텐츠 공모전,예체능/미술/음악,제한없음,양평의병기념사업회,2025-04-21 ~ 2025-05-20,1천만원이하,,
170,제6회 MDF 패션디자인 공모전,디자인/캐릭터/웹툰,"대학생, 기타",MD재단,2025-04-07 ~ 2025-05-07,다양한 혜택,,
171,청소년 창작 동화 공모전 (소리로 그린 동화),문학/글/시나리오,청소년,전라남도청소년수련원,2025-04-09 ~ 2025-05-30,1천만원이하,20만원,
172,2025년 담양군 규제혁신 아이디어 공모전,기획/아이디어,"제한없음, 기타",담양군,2025-04-07 ~ 2025-05-30,1천만원이하,50만원,
173,캐롯 세상에 없던 보험 만들기 공모전,광고/마케팅,제한없음,캐롯손해보험,2025-04-08 ~ 2025-05-09,3천만원~1천만원,200만원,
174,제9회 개방형 클라우드 플랫폼(K-PaaS) 활용 공모전,웹/모바일/IT,제한없음,과학기술정보통신부 / 한국지능정보사회진흥원,"NAVER CLOUD, KT CLOUD, NHN CLOUD, OPA, KACI, CCCR, OPDC, 숭실대학교스파르탄SW교육원",2025-03-24 ~ 2025-10-31,5천만원~3천만원,500만원
175,제2회 법정스님과 함께하는 땅끝해남 행복에세이 공모전,문학/글/시나리오,제한없음,도서출판 북산,해남군,2025-04-11 ~ 2025-06-10,1천만원이하,
176,2025 고흥군 지방세외수입 확충 제안(아이디어) 공모전,기획/아이디어,기타,고흥군,2025-04-07 ~ 2025-05-09,1천만원이하,100만원,
177,내가 만난 울주 이야기 공모전 (2025 울주 이바구),문학/글/시나리오,제한없음,울주문화재단,2025-04-09 ~ 2025-06-29,3천만원~1천만원,200만원,
178,제5회 호남학산책 원고 공모전,문학/글/시나리오,제한없음,(재)한국학호남진흥,2025-04-11 ~ 2025-05-09,1천만원이하,150만원,
179,2025 제1회 KOFICE 한류 데이터 페어 대학(원)생 공모전,논문/리포트,"일반인, 대학생, 기타",(재)한국국제문화교류진흥원,2025-04-07 ~ 2025-05-07,1천만원이하,200만원,
180,인생아구찜 캐릭터 공모전,디자인/캐릭터/웹툰,제한없음,인생푸드,2025-04-08 ~ 2025-05-06,1천만원이하,100만원,
181,2025년 서울특별시 수해 예방 콘텐츠 공모전,예체능/미술/음악,제한없음,서울특별시,2025-04-09 ~ 2025-05-06,1천만원이하,100만원,
182,2025 광주 방문의 해 관광 상품(굿즈) 아이디어 공모전,예체능/미술/음악,제한없음,광주디자인진흥원,2025-04-03 ~ 2025-05-08,1천만원이하,100만원,
183,현대아파트 공모전,영상/UCC/사진,제한없음,현대건설,2025-04-07 ~ 2025-05-16,1천만원이하,100만원,
184,2025년 경기도서관 크리에이티브 시너지 공모전,예체능/미술/음악,제한없음,경기도,2025-04-09 ~ 2025-06-30,3천만원~1천만원,300만원,
185,"펄어비스 게임 제작 공모전 (만들어봐, 나만의 모험!)",게임/소프트웨어,"일반인, 대학생",펄어비스,2025-03-18 ~ 2025-05-21,1천만원이하,200만원,
186,2025년 제 3회 아이스토리 그림·포스터 공모전,예체능/미술/음악,"어린이, 기타",울산남부아동보호전문기관,2025-04-04 ~ 2025-05-30,다양한 혜택,,
187,공동사업 비즈니스 모델 공모전,기획/아이디어,제한없음,중소기업중앙회,2025-04-07 ~ 2025-05-30,3천만원~1천만원,300만원,
188,"일러스트코리아 작품 공모전 Delight Memory , The Incheon 작품 공모",디자인/캐릭터/웹툰,제한없음,인천광역시,2025-04-09 ~ 2025-05-23,1천만원이하,50만원,
189,제2회 대한민국 인구 페스티벌(2025) 그림 정책제안 공모전,예체능/미술/음악,기타,인구보건복지협회,2025-03-31 ~ 2025-05-09,3천만원~1천만원,,
